geo_name,geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
Sunshine Coast B,5929022,2725,NULL,0.50,0.10,0.16,0.83,0.49,0.32,0.25,0.41,0.04,0.01,0.00,0.01,0.00,0.06,0.82,0.71,1.09,0.30,0.37,0.55,0.07
Sunshine Coast D,5929024,3425,NULL,0.48,0.11,0.18,0.80,0.46,0.38,0.26,0.40,0.01,0.00,0.01,0.01,0.00,0.05,0.76,0.69,1.05,0.29,0.60,0.65,0.05
Sunshine Coast E,5929026,3665,0.02,0.49,0.11,0.18,0.79,0.46,0.37,0.27,0.42,0.04,0.01,0.01,0.00,0.01,0.10,0.83,0.53,0.96,0.33,0.50,0.64,0.06
Sunshine Coast F,5929028,2040,NULL,0.50,0.10,0.17,0.61,0.49,0.37,0.25,0.45,0.06,0.01,0.03,0.01,0.01,0.09,0.81,0.68,1.05,0.27,0.42,0.60,0.05
Sechelt (Part),5929803,675,0.01,0.50,0.12,0.18,0.56,0.44,0.57,0.29,0.21,0.01,0.00,0.00,0.00,0.02,0.68,0.71,NULL,NULL,0.26,0.47,0.57,0.14
Squamish,5931006,19510,0.02,0.51,0.20,0.27,0.64,0.38,0.37,0.29,0.47,0.02,0.04,0.07,0.01,0.01,0.06,0.73,0.72,1.30,0.26,0.62,0.76,0.05
Pemberton,5931012,2575,NULL,0.51,0.19,0.33,0.68,0.34,0.33,0.29,0.44,0.05,0.02,0.01,0.00,0.00,0.07,0.78,0.44,1.40,0.32,0.57,0.86,0.06
Squamish-Lillooet C,5931017,1660,NULL,0.53,0.15,0.27,0.67,0.40,0.31,0.28,0.46,0.02,0.01,0.01,0.00,0.01,0.07,0.85,0.57,0.88,0.30,0.58,0.80,0.06
Whistler,5931020,11855,NULL,0.54,0.35,0.24,0.83,0.36,0.47,0.27,0.54,0.04,0.04,0.02,0.00,0.01,0.02,0.61,0.96,1.66,0.27,0.69,0.85,0.05
Squamish-Lillooet D,5931021,1055,NULL,0.51,0.10,0.25,0.64,0.44,0.29,0.26,0.64,0.06,0.01,0.00,0.01,0.00,0.05,0.88,0.99,1.47,0.26,0.63,0.64,0.07
Lillooet,5931026,2275,0.01,0.49,0.12,0.18,0.62,0.47,0.45,0.26,0.34,0.05,0.00,0.01,0.00,0.01,0.27,0.75,0.26,0.70,0.30,0.49,0.58,0.10
Squamish-Lillooet A,5931032,185,NULL,0.57,0.11,0.30,0.95,0.53,0.47,0.23,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.59,0.00,0.29,0.50,0.58,0.09
Squamish-Lillooet B,5931034,365,NULL,0.53,0.14,0.12,0.86,0.51,0.38,0.25,0.26,0.05,0.00,0.00,0.03,0.00,0.15,0.88,0.35,0.00,0.26,0.51,0.44,0.00
Cheakamus 11,5931801,60,NULL,0.50,0.08,0.17,0.64,0.33,0.50,0.23,NULL,0.00,0.00,0.00,0.00,0.00,0.91,0.75,NULL,NULL,0.43,0.29,0.63,0.00
Seaichem 16,5931806,50,0.18,0.50,0.00,0.20,0.80,0.47,0.44,0.22,NULL,0.00,0.20,0.00,0.00,0.00,0.30,1.00,NULL,NULL,0.44,0.33,0.60,0.00
Stawamus 24,5931807,110,0.04,0.45,0.32,0.09,0.72,0.35,0.47,0.29,NULL,0.00,0.00,0.00,0.00,0.00,0.95,0.67,NULL,NULL,0.29,0.41,0.65,0.27
Waiwakum 14,5931808,160,0.12,0.50,0.25,0.19,0.70,0.34,0.67,0.3,NULL,0.00,0.00,0.00,0.06,0.00,0.94,0.63,NULL,NULL,0.44,0.26,0.54,0.00
Nesuch 3,5931812,140,NULL,0.50,0.18,0.25,0.79,0.40,0.48,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.93,0.90,NULL,NULL,0.52,0.35,0.30,0.29
Bridge River 1,5931813,240,NULL,0.52,0.21,0.19,0.69,0.35,0.54,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.61,NULL,NULL,0.36,0.31,0.53,0.26
Cayoosh Creek 1,5931814,65,NULL,0.62,0.23,0.15,0.89,0.49,0.50,0.22,NULL,0.00,0.00,0.00,0.00,0.00,0.92,0.71,NULL,NULL,0.25,0.33,0.50,0.00
Chilhil 6,5931815,70,NULL,0.50,0.14,0.21,0.70,0.37,0.40,0.24,NULL,0.00,0.00,0.00,0.00,0.00,1.08,0.40,NULL,NULL,0.30,0.40,0.60,0.50
Fountain 1,5931816,110,0.01,0.55,0.14,0.23,0.82,0.42,0.42,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.96,0.67,NULL,NULL,0.21,0.47,0.72,0.23
Lillooet 1,5931821,240,0.01,0.48,0.21,0.15,0.67,0.34,0.61,0.3,NULL,0.00,0.00,0.00,0.00,0.00,0.98,0.53,NULL,NULL,0.27,0.38,0.47,0.29
Pashilqua 2,5931828,40,NULL,0.50,0.13,0.25,0.63,0.32,0.50,0.27,NULL,0.00,0.00,0.00,0.00,0.00,1.00,1.00,NULL,NULL,0.33,0.67,0.67,0.50
Pavilion 1,5931829,55,NULL,0.55,0.18,0.18,0.97,0.44,0.56,0.3,NULL,0.00,0.00,0.00,0.00,0.00,1.00,NULL,NULL,NULL,0.22,0.22,0.75,0.33
Slosh 1,5931831,180,NULL,0.50,0.17,0.14,0.72,0.40,0.61,0.28,NULL,0.00,0.00,0.00,0.00,0.00,0.94,0.47,NULL,NULL,0.29,0.50,0.54,0.13
Fountain 1B,5931842,70,0.01,0.50,0.14,0.21,0.50,0.32,0.45,0.32,NULL,0.00,0.00,0.00,0.00,0.00,0.93,0.75,NULL,NULL,0.45,0.27,0.64,0.29
Mount Currie,5931843,1285,0.01,0.53,0.23,0.21,0.63,0.34,0.51,0.31,0.23,0.00,0.00,0.00,0.00,0.00,0.98,0.61,NULL,NULL,0.53,0.25,0.41,0.18
Nequatque,5931844,130,0.01,0.54,0.31,0.15,0.81,0.40,0.55,0.25,NULL,0.00,0.00,0.00,0.08,0.00,0.92,0.73,NULL,NULL,0.55,0.23,0.48,0.18
Merritt,5933006,7140,0.03,0.49,0.15,0.17,0.56,0.44,0.44,0.27,0.39,0.03,0.01,0.06,0.01,0.00,0.23,0.68,0.26,0.87,0.30,0.46,0.58,0.10
Thompson-Nicola M,5933008,1595,NULL,0.50,0.11,0.17,0.64,0.49,0.33,0.25,0.45,0.02,0.01,0.01,0.00,0.00,0.12,0.81,0.40,0.76,0.28,0.48,0.56,0.10
Thompson-Nicola N,5933012,760,NULL,0.51,0.13,0.14,0.64,0.49,0.28,0.25,0.39,0.01,0.00,0.00,0.00,0.00,0.07,0.86,0.45,0.00,0.34,0.42,0.56,0.06
Lytton,5933015,245,NULL,0.53,0.16,0.16,0.86,0.48,0.42,0.24,NULL,0.02,0.00,0.00,0.00,0.00,0.34,0.68,0.18,0.62,0.32,0.34,0.56,0.09
Ashcroft,5933019,1560,NULL,0.49,0.10,0.13,0.55,0.52,0.37,0.25,0.36,0.02,0.02,0.00,0.01,0.00,0.19,0.79,0.25,0.81,0.34,0.42,0.46,0.08
Cache Creek,5933024,965,0.01,0.51,0.13,0.13,0.62,0.49,0.40,0.25,0.36,0.03,0.05,0.00,0.01,0.00,0.12,0.78,0.18,0.74,0.34,0.41,0.53,0.08
Clinton,5933028,640,0.01,0.50,0.11,0.12,0.65,0.51,0.45,0.25,0.33,0.04,0.02,0.00,0.00,0.00,0.17,0.78,0.17,0.62,0.17,0.50,0.49,0.07
Thompson-Nicola E,5933032,1095,NULL,0.53,0.08,0.11,0.63,0.55,0.30,0.23,0.30,0.00,0.00,0.00,0.00,0.00,0.06,0.93,0.40,0.46,0.34,0.44,0.44,0.05
Logan Lake,5933035,1990,NULL,0.49,0.10,0.14,0.56,0.49,0.33,0.25,0.40,0.00,0.01,0.00,0.01,0.00,0.08,0.85,0.22,0.78,0.32,0.51,0.47,0.11
Thompson-Nicola I,5933037,1260,NULL,0.54,0.10,0.15,0.83,0.49,0.37,0.26,0.37,0.01,0.00,0.00,0.01,0.00,0.13,0.85,0.25,0.46,0.34,0.47,0.47,0.08
Thompson-Nicola J,5933039,1580,NULL,0.51,0.11,0.17,0.61,0.47,0.30,0.26,0.52,0.02,0.00,0.03,0.00,0.00,0.08,0.87,0.44,0.96,0.35,0.49,0.59,0.09
Kamloops,5933042,90280,0.03,0.49,0.20,0.19,0.61,0.42,0.43,0.27,0.44,0.03,0.01,0.03,0.01,0.00,0.11,0.72,0.39,1.03,0.32,0.53,0.65,0.07
Thompson-Nicola P,5933044,3670,NULL,0.51,0.13,0.18,0.63,0.46,0.29,0.26,0.48,0.00,0.01,0.00,0.00,0.00,0.09,0.91,0.45,1.10,0.28,0.57,0.62,0.08
Sun Peaks Mountain,5933045,615,NULL,0.52,0.28,0.19,0.77,0.41,0.34,0.25,0.42,0.02,0.00,0.02,0.00,0.00,0.09,0.60,0.47,1.17,0.13,0.71,0.70,0.20
Chase,5933054,2285,0.06,0.48,0.09,0.13,0.84,0.52,0.36,0.25,0.31,0.02,0.00,0.00,0.00,0.00,0.12,0.85,0.24,0.79,0.30,0.43,0.43,0.11
Thompson-Nicola L,5933060,2955,NULL,0.51,0.11,0.17,0.83,0.48,0.30,0.26,0.42,0.00,0.00,0.00,0.00,0.01,0.07,0.87,0.42,0.82,0.31,0.34,0.64,0.05
Clearwater,5933067,2325,NULL,0.50,0.14,0.18,0.61,0.44,0.38,0.27,0.38,0.01,0.00,0.01,0.00,0.00,0.12,0.77,0.32,0.75,0.31,0.46,0.59,0.09
Thompson-Nicola A,5933068,1495,NULL,0.52,0.11,0.15,0.63,0.49,0.34,0.25,0.34,0.00,0.01,0.00,0.01,0.00,0.15,0.88,0.24,0.74,0.31,0.38,0.52,0.18
Thompson-Nicola B,5933070,235,NULL,0.57,0.15,0.15,0.89,0.49,0.45,0.24,NULL,0.00,0.10,0.00,0.00,0.00,0.05,0.76,0.18,0.00,0.32,0.39,0.50,0.10
Thompson-Nicola O,5933072,1320,NULL,0.52,0.11,0.15,0.65,0.49,0.31,0.25,0.35,0.00,0.00,0.01,0.00,0.00,0.09,0.88,0.32,0.77,0.26,0.44,0.56,0.14
Barriere,5933074,1715,0.02,0.50,0.11,0.13,0.52,0.48,0.38,0.26,0.29,0.01,0.00,0.00,0.00,0.00,0.12,0.84,0.25,0.81,0.33,0.37,0.45,0.10
Coldwater 1,5933801,320,NULL,0.52,0.22,0.19,0.73,0.37,0.65,0.29,0.21,0.03,0.00,0.00,0.00,0.00,0.86,0.86,NULL,NULL,0.24,0.37,0.63,0.34
Douglas Lake 3,5933802,150,NULL,0.50,0.27,0.13,0.83,0.41,0.50,0.27,NULL,0.00,0.00,0.00,0.00,0.00,0.97,0.82,NULL,NULL,0.31,0.35,0.60,0.13
