geo_code,population,population_density_div10K,male,young,middle_age,drinking_age,population_age_avg_div100,single,family_size_avg_div10,market_income_avg_div100K,East_Asian,Southeast_Asian,West_Asian,Black,Latin_American,Aboriginal,dwelling_ownership,dwelling_value_avg_div1M,rent_price_avg_div_1K,secondary_education,postsecondary_education,in_labor_force_pct,Unemployment_rate
59150108,7505,0.22,0.49,0.12,0.28,0.60,0.36,0.31,0.32,0.63,0.29,0.02,0.05,0.00,0.01,0.02,0.93,1.07,1.56,0.11,0.68,0.69,0.05
59150116,10575,0.39,0.48,0.24,0.19,0.66,0.42,0.47,0.3,0.35,0.36,0.19,0.29,0.01,0.01,0.01,0.55,1.48,1.24,0.32,0.51,0.64,0.07
59150122,8325,0.50,0.50,0.23,0.21,0.64,0.40,0.46,0.32,0.31,0.21,0.23,0.44,0.01,0.01,0.01,0.52,1.46,1.09,0.33,0.43,0.68,0.05
59150156,9795,0.14,0.50,0.15,0.21,0.60,0.41,0.36,0.31,0.49,0.16,0.03,0.05,0.01,0.01,0.03,0.85,1.16,1.27,0.30,0.59,0.65,0.05
59150176,8595,0.31,0.48,0.21,0.21,0.68,0.41,0.45,0.29,0.39,0.18,0.12,0.10,0.02,0.02,0.04,0.66,0.67,1.11,0.31,0.56,0.68,0.05
59150180,5095,0.38,0.49,0.16,0.19,0.79,0.43,0.35,0.3,0.42,0.58,0.09,0.05,0.01,0.01,0.01,0.85,1.25,1.48,0.15,0.60,0.59,0.04
59150185,9000,0.20,0.47,0.24,0.24,0.70,0.43,0.51,0.26,0.40,0.11,0.09,0.06,0.02,0.02,0.05,0.68,0.32,1.15,0.31,0.55,0.72,0.06
59150187,11725,0.50,0.50,0.26,0.22,0.75,0.42,0.49,0.27,0.50,0.09,0.08,0.06,0.01,0.02,0.05,0.56,0.66,0.97,0.25,0.65,0.74,0.05
59150188,9885,0.88,0.48,0.21,0.20,0.70,0.47,0.54,0.25,0.37,0.13,0.07,0.08,0.04,0.02,0.05,0.42,0.48,0.92,0.30,0.57,0.63,0.08
59150189,9890,0.89,0.49,0.25,0.23,0.75,0.41,0.52,0.26,0.38,0.10,0.10,0.07,0.03,0.02,0.05,0.33,0.56,0.99,0.28,0.59,0.72,0.05
59150191,6590,0.36,0.50,0.20,0.22,0.77,0.40,0.43,0.3,0.46,0.13,0.11,0.16,0.03,0.02,0.04,0.67,1.07,1.15,0.17,0.56,0.68,0.07
59150193,8955,0.69,0.48,0.29,0.21,0.74,0.43,0.47,0.24,0.45,0.20,0.09,0.06,0.02,0.02,0.04,0.64,0.41,1.28,0.27,0.65,0.69,0.05
